Year,SLIE,Breakup_DOY,Breakup_Uncertainty,Community,Latitude,Longitude,Region,Mean_Breakup_DOY,Mean_SLIE,Breakup_Anomaly,SLIE_Anomaly
2018,8.71949398990973,129.5,13.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-17.456521739130437,-6.154468677701921
2019,2.66342347748506,130.0,6.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-16.956521739130437,-12.21053919012659
2020,17.5681582482723,147.5,3.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,0.5434782608695627,2.694195580660651
2021,11.4157548752224,147.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,0.5434782608695627,-3.458207792389251
2022,13.7010962588254,138.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-8.456521739130437,-1.1728664087862501
2000,14.2903689145701,151.5,11.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,14.5,4.259097823342618
2001,5.04131625512002,142.5,9.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,5.5,-4.989954836107462
2002,11.5761431394689,138.5,3.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,1.5,1.5448720482414178
2003,6.96376989719657,137.5,5.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,0.5,-3.067501194030913
2004,7.99586415818797,121.5,1.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-15.5,-2.0354069330395124
2005,7.97785834653837,138.0,10.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,1.0,-2.053412744689113
2006,12.8262382408838,148.5,1.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,11.5,2.7949671496563173
2007,10.5837928886219,143.0,6.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,6.0,0.5525217973944176
2008,13.0375084620821,147.0,8.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,10.0,3.006237370854617
2009,16.6535246903558,148.5,3.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,11.5,6.622253599128316
2010,17.0962785414162,149.5,1.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,12.5,7.065007450188718
2011,10.4737652026352,138.0,2.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,1.0,0.4424941114077168
2012,12.2281367821824,153.0,6.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,16.0,2.196865690954917
2013,10.9277665729536,154.5,5.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,17.5,0.8964954817261166
2014,6.99166695472598,118.5,5.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-18.5,-3.0396041365015023
2015,7.92946457992567,137.0,16.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,0.0,-2.1018065113018123
2016,5.033029089539,119.5,3.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-17.5,-4.9982420016884825
2017,11.4960580109863,123.5,7.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-13.5,1.4647869197588168
2018,6.95154583495257,120.0,20.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-17.0,-3.079725256274913
2019,2.61309204216168,122.0,6.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-15.0,-7.418179049065802
2020,11.9126829592782,131.0,2.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-6.0,1.8814118680507175
2021,9.93148244420757,139.5,9.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,2.5,-0.09978864701991341
2022,10.1878810902422,128.5,9.0,Hooper Bay,61.5311,-166.0967,Southern,137.0,10.031271091227483,-8.5,0.15660999901471762
2000,4.94311393909956,151.5,11.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,18.760869565217405,1.2940779571650252
2001,0.627829843305569,141.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,8.760869565217405,-3.021206138628966
2002,3.92754554452755,133.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,0.7608695652174049,0.27850956259301496
2003,2.74024675369029,119.0,2.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-13.739130434782595,-0.9087892282442449
2004,2.8591413032516,120.0,2.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-12.739130434782595,-0.7898946786829351
2005,1.19438560325735,129.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-3.239130434782595,-2.4546503786771847
2006,3.30275104548395,149.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,16.760869565217405,-0.3462849364505849
2007,4.88188927663103,127.5,7.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-5.239130434782595,1.2328532946964952
2008,6.73413042603997,146.5,9.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,13.760869565217405,3.085094444105435
2009,5.842239460597,146.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,13.760869565217405,2.193203478662465
2010,6.58449180936199,146.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,13.760869565217405,2.9354558274274547
2011,2.51118262374462,137.5,3.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,4.760869565217405,-1.1378533581899148
2012,5.66106536268642,151.0,2.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,18.260869565217405,2.012029380751885
2013,4.6581135657105,151.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,18.760869565217405,1.009077583775965
2014,3.28007861137016,115.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-17.239130434782595,-0.36895737056437516
2015,2.78193893255816,127.0,4.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-5.739130434782595,-0.8670970493763752
2016,2.18840586495059,118.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-14.239130434782595,-1.4606301169839448
2017,5.3955002463685,124.0,8.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-8.739130434782595,1.746464264433965
2018,1.384429803461,107.0,4.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-25.739130434782595,-2.264606178473535
2019,0.58496300621581,122.0,6.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-10.739130434782595,-3.064072975718725
2020,4.949686674435,127.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-5.239130434782595,1.300650692500465
2021,2.42392342142263,138.5,11.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,5.760869565217405,-1.225112560511905
2022,4.47077446632506,121.5,1.0,Mekoryuk,60.3886,-166.1891,Southern,132.7391304347826,3.649035981934535,-11.239130434782595,0.8217384843905249
2000,34.6549790258783,215.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,16.065217391304344,2.43039926430491
2001,33.849239547885,221.5,7.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,22.065217391304344,1.6246597863116108
2002,31.0277053707663,193.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-5.934782608695656,-1.1968743908070891
2003,38.1045299273612,197.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-1.9347826086956559,5.879950165787811
2004,34.8652802934238,193.0,2.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-6.434782608695656,2.6407005318504133
2005,30.1061612798282,196.0,2.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-3.434782608695656,-2.118418481745188
2006,39.5861935819541,219.0,4.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,19.565217391304344,7.361613820380711
2007,24.7780085097447,182.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-16.934782608695656,-7.446571251828686
2008,24.0686597593735,195.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-3.934782608695656,-8.155920002199888
2009,30.7628993993866,190.0,6.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-9.434782608695656,-1.4616803621867867
2010,38.1118187593464,205.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,6.065217391304344,5.887238997773011
2011,28.2036062920063,186.0,2.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-13.434782608695656,-4.020973469567089
2012,37.9959412376053,212.5,3.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,13.065217391304344,5.771361476031913
2013,31.9243692726045,219.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,20.065217391304344,-0.3002104889688866
2014,36.3139461763322,215.0,8.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,15.565217391304344,4.089366414758814
2015,23.1731404420862,179.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-19.934782608695656,-9.051439319487187
2016,34.4458908659127,189.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-9.934782608695656,2.221311104339314
2017,37.0334837815685,187.5,5.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-11.934782608695656,4.808904019995111
2018,34.4050358068772,208.0,4.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,8.565217391304344,2.1804560453038135
2019,18.1217551593666,184.0,4.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-15.434782608695656,-14.102824602206788
2020,32.7259420719144,190.5,1.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-8.934782608695656,0.5013623103410154
2021,33.8918460584254,209.0,14.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,9.565217391304344,1.6672662968520129
2022,33.0149018965404,196.5,3.0,Utqiagvik,71.2906,-156.7886,Northern,199.43478260869566,32.22457976157339,-2.934782608695656,0.7903221349670133
2000,6.6416506953791,163.5,3.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,14.84210526315789,3.301727607286212
2002,3.03157308909174,156.5,3.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,7.84210526315789,-0.30834999900114823
2004,2.03271262282356,146.5,13.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-2.1578947368421098,-1.3072104652693284
2005,2.98526779923977,151.0,8.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,2.3421052631578902,-0.3546552888531185
2006,5.58400877018671,135.5,9.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-13.15789473684211,2.2440856820938215
2007,3.90301419519633,142.0,2.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-6.65789473684211,0.5630911071034417
2008,4.95880925003573,152.5,1.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,3.8421052631578902,1.618886161942842
2009,4.23684035764303,155.5,9.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,6.84210526315789,0.8969172695501415
2010,0.441077522095511,138.5,1.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-10.15789473684211,-2.8988455659973775
2011,0.562324602209009,143.5,5.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-5.15789473684211,-2.777598485883879
2012,2.97234832026658,166.5,1.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,17.84210526315789,-0.36757476782630816
2013,3.78011173637368,161.0,6.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,12.34210526315789,0.44018864828079174
2014,3.94048312248016,138.0,2.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-10.65789473684211,0.6005600343872719
2015,2.67047197893845,149.0,4.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,0.34210526315789025,-0.6694511091544384
2016,4.81401187072852,144.0,10.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-4.65789473684211,1.474088782635632
2017,2.83065368777756,122.0,4.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-26.65789473684211,-0.5092694003153282
2020,2.45064617242464,160.5,1.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,11.84210526315789,-0.8892769156682485
2021,0.511311248629868,170.5,1.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,21.84210526315789,-2.8286118394630204
2022,5.11122163224493,128.0,2.0,Gambell,63.7797,-171.731,Southern,148.6578947368421,3.3399230880928883,-20.65789473684211,1.7712985441520415
2000,81.3452575350383,180.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,15.021739130434781,19.327635370134153
2001,18.157697468802,174.5,23.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,9.021739130434781,-43.85992469610215
2002,67.5707585964939,161.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-3.9782608695652186,5.553136431589756
2003,74.926238542838,161.5,3.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-3.9782608695652186,12.908616377933846
2004,43.4684219875577,154.0,2.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-11.478260869565219,-18.54920017734645
2005,71.0673433039095,165.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,0.021739130434781373,9.04972113900535
2006,29.7439430457286,174.5,3.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,9.021739130434781,-32.27367911917555
2007,90.7253872957841,173.0,2.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,7.521739130434781,28.707765130879956
2008,99.2803257363816,179.0,2.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,13.521739130434781,37.26270357147745
2009,22.5215043871133,163.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-1.9782608695652186,-39.49611777779084
2010,105.492612084541,174.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,9.021739130434781,43.47498991963685
2011,25.0925015069511,159.5,3.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-5.978260869565219,-36.925120657953045
2012,108.830547105366,177.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,12.021739130434781,46.81292494046185
2013,65.522826178093,169.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,4.021739130434781,3.5052040131888518
2014,44.2594202225813,162.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-2.9782608695652186,-17.75820194232285
2015,80.2310271953002,152.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-12.978260869565219,18.213405030396054
2016,107.433095544417,152.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-12.978260869565219,45.415473379512854
2017,64.738020762451,161.0,4.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-4.478260869565219,2.720398597546854
2018,19.2622931659494,150.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-14.978260869565219,-42.755328998954745
2019,16.4003843736903,149.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,-15.978260869565219,-45.617237791213846
2020,75.2605504204171,165.5,1.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,0.021739130434781373,13.242928255512957
2021,41.727150325398,169.0,2.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,3.5217391304347814,-20.290471839506147
2022,73.3480030079931,174.5,7.0,Kotzebue,66.8983,-162.5966,Northern,165.47826086956522,62.01762216490415,9.021739130434781,11.330380843088953
2000,55.5056277425871,216.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,10.952380952380963,0.4837741010365235
2001,53.5840238036703,233.0,12.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,27.952380952380963,-1.4378298378802796
2002,53.3512430179515,201.5,1.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-3.547619047619037,-1.6706106235990816
2003,71.9828787700455,215.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,9.952380952380963,16.961025128494924
2004,57.4927196648488,201.5,3.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-3.547619047619037,2.470866023298221
2005,51.0095574781181,223.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,17.952380952380963,-4.012296163432481
2007,49.3028981486874,197.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-8.047619047619037,-5.718955492863181
2008,50.0429613459173,185.5,1.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-19.547619047619037,-4.97889229563328
2009,50.1298844016201,190.0,6.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-15.047619047619037,-4.891969239930475
2010,60.2732456205547,213.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,7.952380952380963,5.251391979004119
2011,50.8053710355105,198.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-7.047619047619037,-4.216482606040081
2012,60.3892065557234,199.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-6.047619047619037,5.36735291417282
2013,54.8859237378598,195.5,1.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-9.547619047619037,-0.13592990369077995
2014,81.5103752233799,201.5,9.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-3.547619047619037,26.488521581829318
2015,55.9864741781618,233.5,15.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,28.452380952380963,0.9646205366112213
2016,74.4948152520788,195.5,1.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-9.547619047619037,19.472961610528216
2017,52.380139451952,194.5,1.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-10.547619047619037,-2.6417141895985807
2019,45.6490869374405,210.0,8.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,4.952380952380963,-9.372766704110077
2020,25.998843312915,188.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,-17.047619047619037,-29.02301032863558
2021,44.631269439091,207.0,2.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,1.9523809523809632,-10.390584202459578
2022,56.0523813544486,208.0,12.0,Nuiqsut,70.2179,-151.0059,Northern,205.04761904761904,55.02185364155058,2.952380952380963,1.0305277128980208
2000,11.0036591208142,163.5,5.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,14.717391304347814,-0.3735428200983524
2001,7.04000745028406,158.5,1.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,9.717391304347814,-4.337194490628493
2002,10.7841811319387,147.5,1.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,-1.2826086956521863,-0.5930208089738525
2003,6.79983286734497,149.5,1.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,0.7173913043478137,-4.577369073567582
2004,8.58196896869488,140.5,1.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,-8.282608695652186,-2.795232972217672
2005,11.6439107046735,138.5,3.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,-10.282608695652186,0.2667087637609473
2006,14.0567727632566,157.5,3.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,8.717391304347814,2.679570822344047
2007,10.9718078024002,149.0,2.0,Elim,64.6178,-162.2566,Southern,148.7826086956522,11.377201940912553,0.21739130434781373,-0.40539413851235295
